respondentid,do_you_typically_check_a_daily_weather_report,how_do_you_typically_check_the_weather,a_specific_website_or_app_please_provide_the_answer,if_you_had_a_smartwatch_like_the_soon_to_be_released_apple_watch_how_likely_or_unlikely_would_you_be_to_check_the_weather_on_that_device,age,what_is_your_gender,how_much_total_combined_money_did_all_members_of_your_household_earn_last_year,us_region
3877650432,False,The default weather app on your phone,-,Very unlikely,18 - 29,Female,Prefer not to answer,South Atlantic
3877649523,True,A specific website or app (please provide the answer),weatherbug,Very unlikely,18 - 29,Female,"$10,000 to $24,999",East North Central
3877649260,True,Local TV News,-,Very unlikely,45 - 59,Female,"$50,000 to $74,999",Pacific
3877648807,False,The default weather app on your phone,-,Somewhat likely,30 - 44,Female,"$200,000 and up",South Atlantic
3877648261,True,Newspaper,-,Somewhat likely,45 - 59,Female,"$125,000 to $149,999",New England
3877648193,True,Internet search,-,Very likely,30 - 44,Female,"$25,000 to $49,999",West South Central
3877647762,True,Local TV News,-,Very likely,30 - 44,Female,"$75,000 to $99,999",East North Central
3877647733,True,The default weather app on your phone,-,Very likely,60+,Male,"$200,000 and up",Pacific
3877647589,True,Internet search,-,Very likely,18 - 29,Female,"$25,000 to $49,999",East North Central
3877647198,True,Local TV News,-,Very unlikely,45 - 59,Female,"$25,000 to $49,999",Middle Atlantic
3877646688,True,The default weather app on your phone,-,Very unlikely,30 - 44,Female,Prefer not to answer,South Atlantic
3877646493,True,Newspaper,-,Very unlikely,45 - 59,Female,"$75,000 to $99,999",West North Central
3877646443,True,Local TV News,-,Somewhat likely,45 - 59,Female,"$175,000 to $199,999",South Atlantic
3877644027,True,The Weather Channel,-,Very unlikely,45 - 59,Male,"$75,000 to $99,999",South Atlantic
3877642069,True,The default weather app on your phone,-,Somewhat likely,30 - 44,Female,Prefer not to answer,South Atlantic
3877640956,True,A specific website or app (please provide the answer),accuweather,Very likely,45 - 59,Female,Prefer not to answer,East North Central
3877640569,True,A specific website or app (please provide the answer),the weather channel app,Very unlikely,18 - 29,Female,"$0 to $9,999",Middle Atlantic
3877640059,True,Local TV News,-,Somewhat unlikely,60+,Female,"$10,000 to $24,999",East South Central
3877639651,True,The default weather app on your phone,-,Very likely,30 - 44,Female,"$125,000 to $149,999",Pacific
3877639599,True,Internet search,-,Somewhat likely,60+,Male,"$25,000 to $49,999",West South Central
3877639207,True,The Weather Channel,-,Very likely,45 - 59,Female,"$150,000 to $174,999",Middle Atlantic
3877638685,True,A specific website or app (please provide the answer),Intellicast (site) & WUnderground (app) ,Very likely,45 - 59,Male,"$25,000 to $49,999",New England
3877638200,False,The default weather app on your phone,-,Somewhat unlikely,18 - 29,Female,Prefer not to answer,West North Central
3877637740,True,A specific website or app (please provide the answer),Weather Bug App,Very likely,18 - 29,Female,"$10,000 to $24,999",East South Central
3877637463,True,The default weather app on your phone,-,Very unlikely,45 - 59,Male,"$200,000 and up",New England
3877637448,True,A specific website or app (please provide the answer),myphone,Very unlikely,60+,Female,Prefer not to answer,West South Central
3877637119,False,The default weather app on your phone,-,Very unlikely,18 - 29,Female,"$175,000 to $199,999",-
3877635198,True,The default weather app on your phone,-,Very likely,30 - 44,Female,Prefer not to answer,East North Central
3877635161,True,Internet search,-,Very likely,30 - 44,Female,"$10,000 to $24,999",New England
3877633592,False,Local TV News,-,Somewhat likely,18 - 29,Female,Prefer not to answer,East North Central
3877633421,True,A specific website or app (please provide the answer),weather.com,Very unlikely,30 - 44,Female,"$100,000 to $124,999",Mountain
3877632920,True,A specific website or app (please provide the answer),weather.gov,Somewhat likely,30 - 44,Female,"$50,000 to $74,999",West North Central
3877632727,True,The Weather Channel,-,Somewhat likely,45 - 59,Female,Prefer not to answer,Pacific
3877631626,True,The Weather Channel,-,Somewhat likely,30 - 44,Female,"$100,000 to $124,999",Pacific
3877630928,True,Radio weather,-,Very likely,18 - 29,Female,Prefer not to answer,West South Central
3877627989,True,Local TV News,-,Very likely,60+,Male,Prefer not to answer,Mountain
3877627031,True,Internet search,-,Very likely,18 - 29,Female,Prefer not to answer,New England
3877626831,True,Newsletter,-,Somewhat unlikely,45 - 59,Female,Prefer not to answer,Pacific
3877626301,False,A specific website or app (please provide the answer),accuweather,Somewhat likely,18 - 29,Female,Prefer not to answer,Mountain
3877625001,True,Internet search,-,Very likely,30 - 44,Female,"$75,000 to $99,999",Pacific
3877624927,True,Internet search,-,Somewhat likely,30 - 44,Female,Prefer not to answer,Pacific
3877623695,True,The default weather app on your phone,-,Very likely,18 - 29,Female,Prefer not to answer,Middle Atlantic
3877623020,False,The default weather app on your phone,-,Somewhat likely,30 - 44,Female,"$50,000 to $74,999",West South Central
3877622336,False,A specific website or app (please provide the answer),my phone has a pre-loaded app,Very likely,45 - 59,Female,"$200,000 and up",Pacific
3877622039,True,The Weather Channel,-,Somewhat likely,18 - 29,Female,Prefer not to answer,West North Central
3877621290,True,The default weather app on your phone,-,Very likely,60+,Female,"$75,000 to $99,999",West North Central
3877620916,False,A specific website or app (please provide the answer),www.weather.gov,Somewhat likely,30 - 44,Female,"$50,000 to $74,999",East North Central
3877620216,True,Internet search,-,Very unlikely,60+,Female,"$200,000 and up",Mountain
3877619244,True,Local TV News,-,Very unlikely,60+,Female,"$25,000 to $49,999",Middle Atlantic
3877618703,True,The default weather app on your phone,-,Very likely,45 - 59,Female,"$200,000 and up",South Atlantic
3877617187,True,A specific website or app (please provide the answer),weather.com,Somewhat unlikely,60+,Female,"$75,000 to $99,999",New England
3877617097,True,Local TV News,-,Somewhat unlikely,30 - 44,Female,"$50,000 to $74,999",Mountain
3877615523,True,The default weather app on your phone,-,Somewhat likely,45 - 59,Female,"$50,000 to $74,999",Mountain
3877614060,True,A specific website or app (please provide the answer),Weather Underground,Very likely,18 - 29,Female,Prefer not to answer,Middle Atlantic
3877613803,True,The Weather Channel,-,Very likely,18 - 29,Female,"$25,000 to $49,999",Middle Atlantic
3877613602,False,-,-,-,-,-,-,-
3877612849,True,Internet search,-,Somewhat likely,60+,Female,"$150,000 to $174,999",Pacific
3877612172,True,Local TV News,-,Very unlikely,45 - 59,Female,"$50,000 to $74,999",East South Central
3877611589,True,Internet search,-,Somewhat likely,60+,Female,Prefer not to answer,East South Central
3877611244,True,Internet search,-,Somewhat likely,45 - 59,Male,"$75,000 to $99,999",East South Central
3877608503,False,Local TV News,-,Somewhat likely,45 - 59,Male,"$100,000 to $124,999",South Atlantic
3877608111,True,The Weather Channel,-,Very likely,45 - 59,Female,"$75,000 to $99,999",West South Central
3877607322,True,Local TV News,-,Very unlikely,45 - 59,Female,"$125,000 to $149,999",Pacific
3877606832,False,The default weather app on your phone,-,Very unlikely,18 - 29,Female,"$0 to $9,999",Mountain
3877606205,True,A specific website or app (please provide the answer),The Weather Channel app,Very likely,45 - 59,Male,Prefer not to answer,South Atlantic
3877606053,True,Newspaper,-,Somewhat likely,60+,Female,"$75,000 to $99,999",South Atlantic
3877605415,True,Local TV News,-,Very unlikely,30 - 44,Female,"$25,000 to $49,999",New England
3877605085,True,A specific website or app (please provide the answer),Weather & Clock widget,Very likely,18 - 29,Female,"$50,000 to $74,999",South Atlantic
3877604945,True,Local TV News,-,Very likely,45 - 59,Female,"$0 to $9,999",Mountain
3877604719,True,Internet search,-,Somewhat likely,45 - 59,Female,Prefer not to answer,West North Central
3877603245,True,The default weather app on your phone,-,Very unlikely,30 - 44,Female,"$75,000 to $99,999",Mountain
3877602149,True,A specific website or app (please provide the answer),Weather.com,Very likely,60+,Male,"$175,000 to $199,999",East North Central
3877602108,True,The Weather Channel,-,Very likely,30 - 44,Female,"$50,000 to $74,999",East South Central
3877601790,True,The default weather app on your phone,-,Very likely,30 - 44,Female,"$75,000 to $99,999",West South Central
3877600406,True,The Weather Channel,-,Somewhat unlikely,18 - 29,Female,"$25,000 to $49,999",South Atlantic
3877599363,True,The default weather app on your phone,-,Very likely,60+,Male,"$25,000 to $49,999",East North Central
3877599184,False,Internet search,-,Very unlikely,30 - 44,Female,"$125,000 to $149,999",South Atlantic
3877598945,True,The Weather Channel,-,Very likely,30 - 44,Female,"$125,000 to $149,999",West South Central
3877598520,True,Local TV News,-,Very unlikely,45 - 59,Male,"$100,000 to $124,999",East North Central
3877595167,True,The default weather app on your phone,-,Very likely,60+,Female,"$75,000 to $99,999",East North Central
3877594682,True,Radio weather,-,Somewhat likely,60+,Male,"$25,000 to $49,999",East North Central
3877592670,True,Local TV News,-,Very likely,45 - 59,Female,"$175,000 to $199,999",Middle Atlantic
3877591670,True,The Weather Channel,-,Very likely,45 - 59,Female,"$50,000 to $74,999",West South Central
3877591495,True,Local TV News,-,Very unlikely,30 - 44,Female,"$75,000 to $99,999",West North Central
3877591297,False,The default weather app on your phone,-,Somewhat likely,45 - 59,Female,"$125,000 to $149,999",Pacific
3877586222,True,A specific website or app (please provide the answer),Weather.com,Very likely,30 - 44,Female,"$100,000 to $124,999",West North Central
3877585955,True,The default weather app on your phone,-,Somewhat likely,30 - 44,Female,Prefer not to answer,New England
3877584768,True,A specific website or app (please provide the answer),yahoo weather app,Very likely,45 - 59,Female,"$75,000 to $99,999",West South Central
3877584496,False,A specific website or app (please provide the answer),Www.weather.com,Very unlikely,30 - 44,Female,"$10,000 to $24,999",Middle Atlantic
3877580938,True,Newspaper,-,Somewhat likely,45 - 59,Female,"$25,000 to $49,999",Mountain
3877579781,True,The Weather Channel,-,Very unlikely,30 - 44,Male,"$25,000 to $49,999",East South Central
3877579062,True,The Weather Channel,-,Very unlikely,45 - 59,Female,"$75,000 to $99,999",Pacific
3877576778,False,Local TV News,-,Very likely,45 - 59,Female,"$10,000 to $24,999",East North Central
3877573011,True,Local TV News,-,Somewhat unlikely,45 - 59,Female,"$25,000 to $49,999",East South Central
3877572488,True,A specific website or app (please provide the answer),weather app on iphone,Very likely,30 - 44,Female,"$125,000 to $149,999",South Atlantic
3877572480,False,The default weather app on your phone,-,Very likely,18 - 29,Female,"$100,000 to $124,999",South Atlantic
3877571848,False,The default weather app on your phone,-,Somewhat likely,45 - 59,Female,"$100,000 to $124,999",East North Central
3877568315,True,The Weather Channel,-,Very unlikely,30 - 44,Female,"$25,000 to $49,999",South Atlantic
3877568116,False,Internet search,-,Very unlikely,60+,Female,"$100,000 to $124,999",West South Central
3877568054,True,The Weather Channel,-,Very likely,45 - 59,Female,Prefer not to answer,Pacific
3877568053,True,The default weather app on your phone,-,Very likely,30 - 44,Female,Prefer not to answer,South Atlantic
3877566926,True,Local TV News,-,Somewhat likely,60+,Female,Prefer not to answer,Pacific
3877551536,False,-,-,-,-,-,-,-
3877548893,True,-,-,-,-,-,-,-
